sigla_uf,ano,populacao
MS,2001,2111036
MT,2001,2560584
PA,2001,6341736
PB,2001,3468594
PE,2001,8008207
PI,2001,2873010
PR,2001,9694709
RJ,2001,14558545
RN,2001,2815244
RO,2001,1407886
RR,2001,337237
RS,2001,10309819
SC,2001,5448736
SE,2001,1817301
SP,2001,37630106
TO,2001,1184895
AC,2002,586942
AL,2002,2887535
AM,2002,2961801
AP,2002,516511
BA,2002,13323212
CE,2002,7654535
DF,2002,2145839
ES,2002,3201722
GO,2002,5210335
MA,2002,5803224
MG,2002,18343517
MS,2002,2140624
MT,2002,2604742
PA,2002,6453683
PB,2002,3494893
PE,2002,8084667
PI,2002,2898223
PR,2002,9798006
RJ,2002,14724475
RN,2002,2852784
RO,2002,1431777
RR,2002,346871
RS,2002,10408540
SC,2002,5527707
SE,2002,1846039
SP,2002,38177742
TO,2002,1207014
AC,2003,600595
AL,2003,2917664
AM,2003,3031068
AP,2003,534835
BA,2003,13435612
CE,2003,7758441
DF,2003,2189789
ES,2003,3250219
GO,2003,5306459
MA,2003,5873655
MG,2003,18553312
MS,2003,2169688
MT,2003,2651335
PA,2003,6574993
PB,2003,3518595
PE,2003,8161862
PI,2003,2923725
PR,2003,9906866
RJ,2003,14879118
RN,2003,2888058
RO,2003,1455907
RR,2003,357302
RS,2003,10510992
SC,2003,5607233
SE,2003,1874613
SP,2003,38709320
TO,2003,1230181
AC,2004,630328
AL,2004,2980910
AM,2004,3138726
AP,2004,547400
BA,2004,13682074
CE,2004,7976563
DF,2004,2282049
ES,2004,3352024
GO,2004,5508245
MA,2004,6021504
MG,2004,18993720
MS,2004,2230702
MT,2004,2749145
PA,2004,6850181
PB,2004,3568350
PE,2004,8323911
PI,2004,2977259
PR,2004,10135388
RJ,2004,15203750
RN,2004,2962107
RO,2004,1562085
RR,2004,381896
RS,2004,10726063
SC,2004,5774178
SE,2004,1934596
SP,2004,39825226
TO,2004,1262644
AC,2005,669736
AL,2005,3015912
AM,2005,3232330
AP,2005,594587
BA,2005,13815334
CE,2005,8097276
DF,2005,2333108
ES,2005,3408365
GO,2005,5619917
MA,2005,6103327
MG,2005,19237450
MS,2005,2264468
MT,2005,2803274
PA,2005,6970586
PB,2005,3595886
PE,2005,8413593
PI,2005,3006885
PR,2005,10261856
RJ,2005,15383407
RN,2005,3003087
RO,2005,1534594
RR,2005,391317
RS,2005,10845087
SC,2005,5866568
SE,2005,1967791
SP,2005,40442795
TO,2005,1305728
AC,2006,686652
AL,2006,3050652
AM,2006,3311026
AP,2006,615715
BA,2006,13950146
CE,2006,8217085
DF,2006,2383784
ES,2006,3464285
GO,2006,5730753
MA,2006,6184538
MG,2006,19479356
MS,2006,2297981
MT,2006,2856999
PA,2006,7110465
PB,2006,3623215
PE,2006,8502603
PI,2006,3036290
PR,2006,10387378
RJ,2006,15561720
RN,2006,3043760
RO,2006,1562417
RR,2006,403344
RS,2006,10963219
SC,2006,5958266
SE,2006,2000738
SP,2006,41055734
TO,2006,1332441
AC,2007,655385
AL,2007,3037231
AM,2007,3221940
AP,2007,587311
BA,2007,14080670
CE,2007,8185250
DF,2007,2455903
ES,2007,3351669
GO,2007,5647035
MA,2007,6118995
MG,2007,19273533
MS,2007,2265813
MT,2007,2854642
PA,2007,7090378
PB,2007,3641397
PE,2007,8486638
PI,2007,3032435
PR,2007,10284503
RJ,2007,15420450
RN,2007,3013740
RO,2007,1453756
RR,2007,395725
RS,2007,10582887
SC,2007,5866487
SE,2007,1939426
SP,2007,39827690
TO,2007,1243627
AC,2008,680073
AL,2008,3127557
AM,2008,3341096
AP,2008,613164
BA,2008,14502575
CE,2008,8450527
DF,2008,2557158
ES,2008,3453648
GO,2008,5844996
MA,2008,6305539
MG,2008,19850072
MS,2008,2336058
MT,2008,2957732
PA,2008,7321493
PB,2008,3742606
PE,2008,8734194
PI,2008,3119697
PR,2008,10590169
RJ,2008,15872362
RN,2008,3106430
RO,2008,1493566
RR,2008,412783
RS,2008,10855214
SC,2008,6052587
SE,2008,1999374
SP,2008,41011635
TO,2008,1280509
AC,2009,691132
AL,2009,3156108
AM,2009,3393369
AP,2009,626609
BA,2009,14637364
CE,2009,8547809
DF,2009,2606885
ES,2009,3487199
GO,2009,5926300
MA,2009,6367138
MG,2009,20033665
MS,2009,2360498
MT,2009,3001692
PA,2009,7397238
PB,2009,3769977
PE,2009,8810256
PI,2009,3145325
PR,2009,10686247
RJ,2009,16010429
RN,2009,3137541
RO,2009,1503928
RR,2009,421499
RS,2009,10914128
SC,2009,6118743
SE,2009,2019679
SP,2009,41384039
TO,2009,1292051
AC,2010,733559
AL,2010,3120494
AM,2010,3483985
AP,2010,669526
BA,2010,14016906
CE,2010,8452381
DF,2010,2570160
ES,2010,3514952
GO,2010,6003788
MA,2010,6574789
MG,2010,19597330
MS,2010,2449024
MT,2010,3035122
PA,2010,7581051
PB,2010,3766528
PE,2010,8796448
PI,2010,3118360
PR,2010,10444526
RJ,2010,15989929
RN,2010,3168027
RO,2010,1562409
RR,2010,450479
RS,2010,10693929
SC,2010,6248436
SE,2010,2068017
SP,2010,41262199
TO,2010,1383445
AC,2011,746386
AL,2011,3143384
AM,2011,3538387
AP,2011,684309
BA,2011,14097534
CE,2011,8530155
DF,2011,2609998
ES,2011,3547055
GO,2011,6080716
MA,2011,6645761
MG,2011,19728701
MS,2011,2477542
MT,2011,3075936
PA,2011,7688593
PB,2011,3791315
PE,2011,8864906
PI,2011,3140328
PR,2011,10512349
RJ,2011,16112678
RN,2011,3198657
RO,2011,1576455
RR,2011,460165
RS,2011,10733030
SC,2011,6317054
SE,2011,2089819
SP,2011,41587182
TO,2011,1400892
AC,2012,758786
AL,2012,3165472
AM,2012,3590985
AP,2012,698602
BA,2012,14175341
CE,2012,8606005
DF,2012,2648532
ES,2012,3578067
GO,2012,6154996
MA,2012,6714314
MG,2012,19855332
MS,2012,2505088
MT,2012,3115336
PA,2012,7792561
PB,2012,3815171
PE,2012,8931028
PI,2012,3160748
PR,2012,10577755
RJ,2012,16231365
RN,2012,3228198
RO,2012,1590011
RR,2012,469524
RS,2012,10770603
SC,2012,6383286
SE,2012,2110867
SP,2012,41901219
TO,2012,1417694
AC,2013,776463
AL,2013,3300935
AM,2013,3807921
AP,2013,734996
BA,2013,15044137
CE,2013,8778576
DF,2013,2789761
ES,2013,3839366
GO,2013,6434048
MA,2013,6794301
MG,2013,20593356
MS,2013,2587269
MT,2013,3182113
PA,2013,7969654
PB,2013,3914421
PE,2013,9208550
PI,2013,3184166
PR,2013,10997465
RJ,2013,16369179
RN,2013,3373959
RO,2013,1728214
RR,2013,488072
RS,2013,11164043
SC,2013,6634254
SE,2013,2195662
SP,2013,43663669
TO,2013,1478164
AC,2014,790101
AL,2014,3321730
AM,2014,3873743
AP,2014,750912
BA,2014,15126371
CE,2014,8842791
DF,2014,2852372
ES,2014,3885049
GO,2014,6523222
MA,2014,6850884
MG,2014,20734097
MS,2014,2619657
MT,2014,3224357
PA,2014,8073924
PB,2014,3943885
PE,2014,9277727
PI,2014,3194718
PR,2014,11081692
RJ,2014,16461173
RN,2014,3408510
RO,2014,1748531
RR,2014,496936
RS,2014,11207274
SC,2014,6727148
SE,2014,2219574
SP,2014,44035304
TO,2014,1496880
AC,2015,803513
AL,2015,3340932
AM,2015,3938336
AP,2015,766679
BA,2015,15203334
CE,2015,8904459
DF,2015,2914830
ES,2015,3929911
GO,2015,6610681
MA,2015,6904241
MG,2015,20869101
MS,2015,2651235
MT,2015,3265486
PA,2015,8175113
PB,2015,3972202
PE,2015,9345173
PI,2015,3204028
PR,2015,11163018
RJ,2015,16550024
RN,2015,3442175
RO,2015,1768204
RR,2015,505665
RS,2015,11247972
SC,2015,6819190
SE,2015,2242937
SP,2015,44396484
TO,2015,1515126
AC,2016,816687
AL,2016,3358963
AM,2016,4001667
AP,2016,782295
BA,2016,15276566
CE,2016,8963663
DF,2016,2977216
ES,2016,3973697
GO,2016,6695855
MA,2016,6954036
MG,2016,20997560
MS,2016,2682386
MT,2016,3305531
PA,2016,8272724
PB,2016,3999415
PE,2016,9410336
PI,2016,3212180
PR,2016,11242720
RJ,2016,16635996
RN,2016,3474998
RO,2016,1787279
RR,2016,514229
RS,2016,11286500
SC,2016,6910553
SE,2016,2265779
SP,2016,44749699
TO,2016,1532902
AC,2017,829619
AL,2017,3375823
AM,2017,4063614
AP,2017,797722
BA,2017,15344447
CE,2017,9020460
DF,2017,3039444
ES,2017,4016356
GO,2017,6778772
MA,2017,7000229
MG,2017,21119536
MS,2017,2713147
MT,2017,3344544
PA,2017,8366628
PB,2017,4025558
PE,2017,9473266
PI,2017,3219257
PR,2017,11320892
RJ,2017,16718956
RN,2017,3507003
RO,2017,1805788
RR,2017,522636
RS,2017,11322895
SC,2017,7001161
SE,2017,2288116
SP,2017,45094866
TO,2017,1550194
AC,2018,869265
AL,2018,3322820
AM,2018,4080611
AP,2018,829494
BA,2018,14812617
CE,2018,9075649
DF,2018,2974703
ES,2018,3972388
GO,2018,6921161
MA,2018,7035055
MG,2018,21040662
MS,2018,2748023
MT,2018,3441998
PA,2018,8513497
PB,2018,3996496
PE,2018,9496294
PI,2018,3264531
PR,2018,11348937
RJ,2018,17159960
RN,2018,3479010
RO,2018,1757589
RR,2018,576568
RS,2018,11329605
SC,2018,7075494
SE,2018,2278308
SP,2018,45538936
TO,2018,1555229
AC,2019,881935
AL,2019,3337357
AM,2019,4144597
AP,2019,845731
BA,2019,14873064
CE,2019,9132078
DF,2019,3015268
ES,2019,4018650
GO,2019,7018354
MA,2019,7075181
MG,2019,21168791
MS,2019,2778986
MT,2019,3484466
PA,2019,8602865
PB,2019,4018127
PE,2019,9557071
PI,2019,3273227
PR,2019,11433957
RJ,2019,17264943
RN,2019,3506853
RO,2019,1777225
RR,2019,605761
RS,2019,11377239
SC,2019,7164788
SE,2019,2298696
SP,2019,45919049
TO,2019,1572866
AC,2020,894470
AL,2020,3351543
AM,2020,4207714
AP,2020,861773
BA,2020,14930634
CE,2020,9187103
DF,2020,3055149
ES,2020,4064052
GO,2020,7113540
MA,2020,7114598
MG,2020,21292666
MS,2020,2809394
MT,2020,3526220
PA,2020,8690745
PB,2020,4039277
PE,2020,9616621
PI,2020,3281480
PR,2020,11516840
RJ,2020,17366189
RN,2020,3534165
RO,2020,1796460
RR,2020,631181
RS,2020,11422973
SC,2020,7252502
SE,2020,2318822
SP,2020,46289333
TO,2020,1590248
AC,2021,906876
AL,2021,3365351
AM,2021,4269995
AP,2021,877613
BA,2021,14985284
CE,2021,9240580
DF,2021,3094325
ES,2021,4108508
GO,2021,7206589
MA,2021,7153262
MG,2021,21411923
MS,2021,2839188
MT,2021,3567234
PA,2021,8777124
PB,2021,4059905
PE,2021,9674793
PI,2021,3289290
PR,2021,11597484
RJ,2021,17463349
RN,2021,3560903
RO,2021,1815278
RR,2021,652713
RS,2021,11466630
SC,2021,7338473
SE,2021,2338474
SP,2021,46649132
TO,2021,1607363
